"Historical price chart data"
"Date: 01/02/2016 - 09/12/2016"
"RENAULT"
"ISIN","MIC","Date","Open","High","Low","Close","Number of Shares","Number of Trades","Turnover","Currency"
"FR0000131906","Euronext Paris","10/10/2016","75.89","76.99","75.51","76.67","732929","7945","56002773.59","EUR"
"FR0000131906","Euronext Paris","11/10/2016","76.78","77.28","76.13","76.27","917892","8884","70470898.38","EUR"
"FR0000131906","Euronext Paris","12/10/2016","76.29","77.07","75.46","75.50","843944","8195","64218718.65","EUR"
"FR0000131906","Euronext Paris","13/10/2016","75.00","75.05","73.71","74.07","935213","9612","69294813.43","EUR"
"FR0000131906","Euronext Paris","14/10/2016","74.86","76.61","74.41","75.75","977097","9942","74165493.84","EUR"
"FR0000131906","Euronext Paris","17/10/2016","75.33","76.59","75.07","76.04","534597","5609","40608345.97","EUR"
"FR0000131906","Euronext Paris","18/10/2016","76.41","76.91","75.80","76.67","635380","8443","48557387.50","EUR"
"FR0000131906","Euronext Paris","19/10/2016","76.83","77.97","76.17","77.43","907534","11608","70225296.24","EUR"
"FR0000131906","Euronext Paris","20/10/2016","77.00","78.06","76.60","77.59","840103","9260","65064984.95","EUR"
"FR0000131906","Euronext Paris","21/10/2016","77.63","78.15","76.73","76.88","790337","7703","61004070.22","EUR"
"FR0000131906","Euronext Paris","24/10/2016","77.29","78.36","77.19","77.49","857317","8574","66708768.74","EUR"
"FR0000131906","Euronext Paris","25/10/2016","77.98","78.12","76.31","76.71","768745","7824","59304675.28","EUR"
"FR0000131906","Euronext Paris","26/10/2016","75.00","79.41","74.50","79.14","1623023","16160","126308941.17","EUR"
"FR0000131906","Euronext Paris","27/10/2016","78.94","79.60","78.35","79.36","862187","9607","68151846.59","EUR"
"FR0000131906","Euronext Paris","28/10/2016","78.75","79.79","78.02","79.40","863651","10552","68372555.45","EUR"
"FR0000131906","Euronext Paris","31/10/2016","79.20","79.58","78.64","79.11","622073","5874","49168515.41","EUR"
"FR0000131906","Euronext Paris","01/11/2016","79.45","79.54","76.92","77.38","1173892","12233","91397126.43","EUR"
"FR0000131906","Euronext Paris","02/11/2016","76.55","76.73","74.53","74.87","1017148","10922","76595486.66","EUR"
"FR0000131906","Euronext Paris","03/11/2016","75.04","77.16","74.51","75.47","1118500","10064","85013476.41","EUR"
"FR0000131906","Euronext Paris","04/11/2016","75.38","75.47","74.27","75.01","759242","8025","56821445.42","EUR"
"FR0000131906","Euronext Paris","07/11/2016","76.23","77.53","76.08","77.23","944373","9073","72776726.14","EUR"
"FR0000131906","Euronext Paris","08/11/2016","77.40","77.95","76.06","77.03","763516","9080","58769214.41","EUR"
"FR0000131906","Euronext Paris","09/11/2016","73.01","75.90","72.75","75.40","1933215","19212","144569803.27","EUR"
"FR0000131906","Euronext Paris","10/11/2016","75.43","75.44","71.92","72.70","1984804","18847","145093395.48","EUR"
"FR0000131906","Euronext Paris","11/11/2016","73.32","74.46","72.84","74.06","1079295","11694","79809752.36","EUR"
"FR0000131906","Euronext Paris","14/11/2016","74.00","75.21","73.02","73.25","1016169","10915","74784654.29","EUR"
"FR0000131906","Euronext Paris","15/11/2016","73.25","74.38","73.25","74.15","689535","9755","50945601.00","EUR"
"FR0000131906","Euronext Paris","16/11/2016","74.32","74.70","72.63","73.75","576430","5525","42486704.17","EUR"
"FR0000131906","Euronext Paris","17/11/2016","73.45","74.63","73.45","74.27","626185","6967","46435712.62","EUR"
"FR0000131906","Euronext Paris","18/11/2016","74.89","75.34","74.28","74.35","824111","9300","61558413.62","EUR"
"FR0000131906","Euronext Paris","21/11/2016","74.15","74.79","73.55","73.83","652499","7871","48344119.63","EUR"
"FR0000131906","Euronext Paris","22/11/2016","73.86","75.59","73.64","74.99","796116","9029","59690322.19","EUR"
"FR0000131906","Euronext Paris","23/11/2016","75.03","75.03","73.56","73.83","872967","8450","64563975.16","EUR"
"FR0000131906","Euronext Paris","24/11/2016","73.97","74.63","73.05","73.34","567940","6235","41793795.62","EUR"
"FR0000131906","Euronext Paris","25/11/2016","73.35","73.36","72.63","73.36","567545","7002","41474622.59","EUR"
"FR0000131906","Euronext Paris","28/11/2016","73.19","73.98","72.41","73.60","625054","5799","45900867.86","EUR"
"FR0000131906","Euronext Paris","29/11/2016","73.52","74.15","72.80","74.01","611164","6731","45031436.69","EUR"
"FR0000131906","Euronext Paris","30/11/2016","73.79","74.49","73.26","74.34","855408","5967","63435902.75","EUR"
"FR0000131906","Euronext Paris","01/12/2016","75.29","76.40","75.10","75.61","1108466","10773","83753685.82","EUR"
"FR0000131906","Euronext Paris","02/12/2016","74.98","74.98","73.69","74.28","661457","6324","49118429.13","EUR"
"FR0000131906","Euronext Paris","05/12/2016","73.86","76.98","73.67","76.29","1035999","10448","78960616.93","EUR"
"FR0000131906","Euronext Paris","06/12/2016","76.30","78.76","76.30","78.06","1311442","12748","102029779.34","EUR"
"FR0000131906","Euronext Paris","07/12/2016","78.79","80.11","78.23","80.10","1286816","13421","102540558.70","EUR"
"FR0000131906","Euronext Paris","08/12/2016","80.30","82.61","80.30","82.31","1383125","15681","113119859.60","EUR"
"FR0000131906","Euronext Paris","09/12/2016","82.15","82.81","81.13","81.43","796082","8032","64900045.21","EUR"
